DistrictID,DistrictNm,RegionID,RegionNm,CountNumber,BallotPosition,CandidateID,Surname,GivenNm,PartyCode,PartyNm,CalculationType,CalculationValue
1,Albert Park,6,Southern Metropolitan,2,7,7,FOLEY,Martin,ALP,Australian Labor Party,Preference Percent,43.76
1,Albert Park,6,Southern Metropolitan,2,7,7,FOLEY,Martin,ALP,Australian Labor Party,Transfer Count,109
1,Albert Park,6,Southern Metropolitan,2,7,7,FOLEY,Martin,ALP,Australian Labor Party,Transfer Percent,16.74
1,Albert Park,6,Southern Metropolitan,3,1,1,RAMSAY,Tamasin,AJP,Animal Justice Party,Preference Count,1992
1,Albert Park,6,Southern Metropolitan,3,1,1,RAMSAY,Tamasin,AJP,Animal Justice Party,Preference Percent,5
1,Albert Park,6,Southern Metropolitan,3,1,1,RAMSAY,Tamasin,AJP,Animal Justice Party,Transfer Count,261
1,Albert Park,6,Southern Metropolitan,3,1,1,RAMSAY,Tamasin,AJP,Animal Justice Party,Transfer Percent,20.73
1,Albert Park,6,Southern Metropolitan,3,2,2,BOND,Andrew,LIB,Liberal,Preference Count,12787
1,Albert Park,6,Southern Metropolitan,3,2,2,BOND,Andrew,LIB,Liberal,Preference Percent,32.08
1,Albert Park,6,Southern Metropolitan,3,2,2,BOND,Andrew,LIB,Liberal,Transfer Count,192
1,Albert Park,6,Southern Metropolitan,3,2,2,BOND,Andrew,LIB,Liberal,Transfer Percent,15.25
1,Albert Park,6,Southern Metropolitan,3,3,3,BARTLE,Jarryd,RP,Fiona Patten's Reason Party,Preference Count,0
1,Albert Park,6,Southern Metropolitan,3,3,3,BARTLE,Jarryd,RP,Fiona Patten's Reason Party,Preference Percent,0
1,Albert Park,6,Southern Metropolitan,3,3,3,BARTLE,Jarryd,RP,Fiona Patten's Reason Party,Transfer Count,-1259
1,Albert Park,6,Southern Metropolitan,3,3,3,BARTLE,Jarryd,RP,Fiona Patten's Reason Party,Transfer Percent,-100
1,Albert Park,6,Southern Metropolitan,3,4,4,ARMSTRONG,Steven,SUS,Sustainable Australia,Preference Count,0
1,Albert Park,6,Southern Metropolitan,3,4,4,ARMSTRONG,Steven,SUS,Sustainable Australia,Preference Percent,0
1,Albert Park,6,Southern Metropolitan,3,4,4,ARMSTRONG,Steven,SUS,Sustainable Australia,Transfer Count,0
1,Albert Park,6,Southern Metropolitan,3,4,4,ARMSTRONG,Steven,SUS,Sustainable Australia,Transfer Percent,0
1,Albert Park,6,Southern Metropolitan,3,5,5,TOSCANO,Joseph,IND,Independent,Preference Count,0
1,Albert Park,6,Southern Metropolitan,3,5,5,TOSCANO,Joseph,IND,Independent,Preference Percent,0
1,Albert Park,6,Southern Metropolitan,3,5,5,TOSCANO,Joseph,IND,Independent,Transfer Count,0
1,Albert Park,6,Southern Metropolitan,3,5,5,TOSCANO,Joseph,IND,Independent,Transfer Percent,0
1,Albert Park,6,Southern Metropolitan,3,6,6,SIMIC,Ogy,GRN,Australian Greens,Preference Count,7244
1,Albert Park,6,Southern Metropolitan,3,6,6,SIMIC,Ogy,GRN,Australian Greens,Preference Percent,18.17
1,Albert Park,6,Southern Metropolitan,3,6,6,SIMIC,Ogy,GRN,Australian Greens,Transfer Count,411
1,Albert Park,6,Southern Metropolitan,3,6,6,SIMIC,Ogy,GRN,Australian Greens,Transfer Percent,32.64
1,Albert Park,6,Southern Metropolitan,3,7,7,FOLEY,Martin,ALP,Australian Labor Party,Preference Count,17835
1,Albert Park,6,Southern Metropolitan,3,7,7,FOLEY,Martin,ALP,Australian Labor Party,Preference Percent,44.75
1,Albert Park,6,Southern Metropolitan,3,7,7,FOLEY,Martin,ALP,Australian Labor Party,Transfer Count,395
1,Albert Park,6,Southern Metropolitan,3,7,7,FOLEY,Martin,ALP,Australian Labor Party,Transfer Percent,31.37
1,Albert Park,6,Southern Metropolitan,4,1,1,RAMSAY,Tamasin,AJP,Animal Justice Party,Preference Count,0
1,Albert Park,6,Southern Metropolitan,4,1,1,RAMSAY,Tamasin,AJP,Animal Justice Party,Preference Percent,0
1,Albert Park,6,Southern Metropolitan,4,1,1,RAMSAY,Tamasin,AJP,Animal Justice Party,Transfer Count,-1992
1,Albert Park,6,Southern Metropolitan,4,1,1,RAMSAY,Tamasin,AJP,Animal Justice Party,Transfer Percent,-100
1,Albert Park,6,Southern Metropolitan,4,2,2,BOND,Andrew,LIB,Liberal,Preference Count,13338
1,Albert Park,6,Southern Metropolitan,4,2,2,BOND,Andrew,LIB,Liberal,Preference Percent,33.46
1,Albert Park,6,Southern Metropolitan,4,2,2,BOND,Andrew,LIB,Liberal,Transfer Count,551
1,Albert Park,6,Southern Metropolitan,4,2,2,BOND,Andrew,LIB,Liberal,Transfer Percent,27.66
1,Albert Park,6,Southern Metropolitan,4,3,3,BARTLE,Jarryd,RP,Fiona Patten's Reason Party,Preference Count,0
1,Albert Park,6,Southern Metropolitan,4,3,3,BARTLE,Jarryd,RP,Fiona Patten's Reason Party,Preference Percent,0
1,Albert Park,6,Southern Metropolitan,4,3,3,BARTLE,Jarryd,RP,Fiona Patten's Reason Party,Transfer Count,0
1,Albert Park,6,Southern Metropolitan,4,3,3,BARTLE,Jarryd,RP,Fiona Patten's Reason Party,Transfer Percent,0
1,Albert Park,6,Southern Metropolitan,4,4,4,ARMSTRONG,Steven,SUS,Sustainable Australia,Preference Count,0
1,Albert Park,6,Southern Metropolitan,4,4,4,ARMSTRONG,Steven,SUS,Sustainable Australia,Preference Percent,0
1,Albert Park,6,Southern Metropolitan,4,4,4,ARMSTRONG,Steven,SUS,Sustainable Australia,Transfer Count,0
1,Albert Park,6,Southern Metropolitan,4,4,4,ARMSTRONG,Steven,SUS,Sustainable Australia,Transfer Percent,0
1,Albert Park,6,Southern Metropolitan,4,5,5,TOSCANO,Joseph,IND,Independent,Preference Count,0
1,Albert Park,6,Southern Metropolitan,4,5,5,TOSCANO,Joseph,IND,Independent,Preference Percent,0
1,Albert Park,6,Southern Metropolitan,4,5,5,TOSCANO,Joseph,IND,Independent,Transfer Count,0
1,Albert Park,6,Southern Metropolitan,4,5,5,TOSCANO,Joseph,IND,Independent,Transfer Percent,0
1,Albert Park,6,Southern Metropolitan,4,6,6,SIMIC,Ogy,GRN,Australian Greens,Preference Count,8144
1,Albert Park,6,Southern Metropolitan,4,6,6,SIMIC,Ogy,GRN,Australian Greens,Preference Percent,20.43
1,Albert Park,6,Southern Metropolitan,4,6,6,SIMIC,Ogy,GRN,Australian Greens,Transfer Count,900
1,Albert Park,6,Southern Metropolitan,4,6,6,SIMIC,Ogy,GRN,Australian Greens,Transfer Percent,45.18
1,Albert Park,6,Southern Metropolitan,4,7,7,FOLEY,Martin,ALP,Australian Labor Party,Preference Count,18376
1,Albert Park,6,Southern Metropolitan,4,7,7,FOLEY,Martin,ALP,Australian Labor Party,Preference Percent,46.1
1,Albert Park,6,Southern Metropolitan,4,7,7,FOLEY,Martin,ALP,Australian Labor Party,Transfer Count,541
1,Albert Park,6,Southern Metropolitan,4,7,7,FOLEY,Martin,ALP,Australian Labor Party,Transfer Percent,27.16
1,Albert Park,6,Southern Metropolitan,5,1,1,RAMSAY,Tamasin,AJP,Animal Justice Party,Preference Count,0
1,Albert Park,6,Southern Metropolitan,5,1,1,RAMSAY,Tamasin,AJP,Animal Justice Party,Preference Percent,0
1,Albert Park,6,Southern Metropolitan,5,1,1,RAMSAY,Tamasin,AJP,Animal Justice Party,Transfer Count,0
1,Albert Park,6,Southern Metropolitan,5,1,1,RAMSAY,Tamasin,AJP,Animal Justice Party,Transfer Percent,0
1,Albert Park,6,Southern Metropolitan,5,2,2,BOND,Andrew,LIB,Liberal,Preference Count,14697
1,Albert Park,6,Southern Metropolitan,5,2,2,BOND,Andrew,LIB,Liberal,Preference Percent,36.87
1,Albert Park,6,Southern Metropolitan,5,2,2,BOND,Andrew,LIB,Liberal,Transfer Count,1359
1,Albert Park,6,Southern Metropolitan,5,2,2,BOND,Andrew,LIB,Liberal,Transfer Percent,16.69
1,Albert Park,6,Southern Metropolitan,5,3,3,BARTLE,Jarryd,RP,Fiona Patten's Reason Party,Preference Count,0
1,Albert Park,6,Southern Metropolitan,5,3,3,BARTLE,Jarryd,RP,Fiona Patten's Reason Party,Preference Percent,0
1,Albert Park,6,Southern Metropolitan,5,3,3,BARTLE,Jarryd,RP,Fiona Patten's Reason Party,Transfer Count,0
1,Albert Park,6,Southern Metropolitan,5,3,3,BARTLE,Jarryd,RP,Fiona Patten's Reason Party,Transfer Percent,0
1,Albert Park,6,Southern Metropolitan,5,4,4,ARMSTRONG,Steven,SUS,Sustainable Australia,Preference Count,0
1,Albert Park,6,Southern Metropolitan,5,4,4,ARMSTRONG,Steven,SUS,Sustainable Australia,Preference Percent,0
1,Albert Park,6,Southern Metropolitan,5,4,4,ARMSTRONG,Steven,SUS,Sustainable Australia,Transfer Count,0
1,Albert Park,6,Southern Metropolitan,5,4,4,ARMSTRONG,Steven,SUS,Sustainable Australia,Transfer Percent,0
1,Albert Park,6,Southern Metropolitan,5,5,5,TOSCANO,Joseph,IND,Independent,Preference Count,0
1,Albert Park,6,Southern Metropolitan,5,5,5,TOSCANO,Joseph,IND,Independent,Preference Percent,0
1,Albert Park,6,Southern Metropolitan,5,5,5,TOSCANO,Joseph,IND,Independent,Transfer Count,0
1,Albert Park,6,Southern Metropolitan,5,5,5,TOSCANO,Joseph,IND,Independent,Transfer Percent,0
1,Albert Park,6,Southern Metropolitan,5,6,6,SIMIC,Ogy,GRN,Australian Greens,Preference Count,0
1,Albert Park,6,Southern Metropolitan,5,6,6,SIMIC,Ogy,GRN,Australian Greens,Preference Percent,0
1,Albert Park,6,Southern Metropolitan,5,6,6,SIMIC,Ogy,GRN,Australian Greens,Transfer Count,-8144
1,Albert Park,6,Southern Metropolitan,5,6,6,SIMIC,Ogy,GRN,Australian Greens,Transfer Percent,-100
1,Albert Park,6,Southern Metropolitan,5,7,7,FOLEY,Martin,ALP,Australian Labor Party,Preference Count,25161
1,Albert Park,6,Southern Metropolitan,5,7,7,FOLEY,Martin,ALP,Australian Labor Party,Preference Percent,63.13
1,Albert Park,6,Southern Metropolitan,5,7,7,FOLEY,Martin,ALP,Australian Labor Party,Transfer Count,6785
1,Albert Park,6,Southern Metropolitan,5,7,7,FOLEY,Martin,ALP,Australian Labor Party,Transfer Percent,83.31
2,Altona,7,Western Metropolitan,0,1,8,MARTINU,Christian,LIB,Liberal,Preference Count,11194
2,Altona,7,Western Metropolitan,0,1,8,MARTINU,Christian,LIB,Liberal,Preference Percent,23.86
2,Altona,7,Western Metropolitan,0,1,8,MARTINU,Christian,LIB,Liberal,Transfer Count,0
2,Altona,7,Western Metropolitan,0,1,8,MARTINU,Christian,LIB,Liberal,Transfer Percent,0
2,Altona,7,Western Metropolitan,0,2,9,HOOPER,Tony,IND,Independent,Preference Count,5861
2,Altona,7,Western Metropolitan,0,2,9,HOOPER,Tony,IND,Independent,Preference Percent,12.5
2,Altona,7,Western Metropolitan,0,2,9,HOOPER,Tony,IND,Independent,Transfer Count,0
2,Altona,7,Western Metropolitan,0,2,9,HOOPER,Tony,IND,Independent,Transfer Percent,0
2,Altona,7,Western Metropolitan,0,3,10,AYLWARD,Maria,IND,Independent,Preference Count,1522
2,Altona,7,Western Metropolitan,0,3,10,AYLWARD,Maria,IND,Independent,Preference Percent,3.24
2,Altona,7,Western Metropolitan,0,3,10,AYLWARD,Maria,IND,Independent,Transfer Count,0
2,Altona,7,Western Metropolitan,0,3,10,AYLWARD,Maria,IND,Independent,Transfer Percent,0
