District,0-11 years,12-17 years,18-24 years,25-34 years,35-49 years,50-59 years,60-84 years,BachAbv,Diploma,Vocational,None,FullTime,PartTime,Unemployed,Owned,Mortgage,SocHousing,Renting,Agriculture,Mining,Transformative,Hospitality,Distributive,Digital,Finance,PMEdT,SocServ,EngOnly,OtherLang,Managers,Professionals,Technicians,Services,Admin,Sales,MachOp,Labourers,Swing2pp,Incumbent
Murray-Wellington,16.35,8.93,7.21,10.28,19.09,13.59,24.55,9.94,8.18,29.01,52.86,53.32,37.55,9.13,36.21,41.96,2.09,19.73,6.13,8.59,26.62,5.99,17.11,3.49,2.89,11.79,17.4,94.28,5.72,10.85,11.37,20.07,10.45,11.2,9.39,12.19,14.47,-1.4,LaborGain
Nedlands,12.56,6.27,12.86,15.54,18.71,11.82,22.26,54.21,8.7,7.85,29.24,55.51,36.96,7.53,33.84,26.34,3.73,36.09,0.71,5.83,8.81,7.13,10.92,4.04,6.54,29.28,26.74,77.71,22.29,15.64,45.38,5.99,8.78,11.11,7.23,1.46,4.41,3.3,LibNat
North West Central,8.56,2.64,4.97,20.24,26.81,16.51,20.28,14.05,8.87,37.05,40.03,75.45,21.5,3.05,41.06,11.84,11.73,35.36,4.08,29.12,28.72,6.19,7.26,3.54,1.38,11.1,8.62,86.58,13.42,9.72,12.26,30.37,5.15,6.68,2.49,17.62,15.7,5.3,LibNat
Perth,9.02,3.01,10.06,28.41,23.07,11.63,14.81,46.79,10.76,13.4,29.05,63.46,29.57,6.97,19.99,28.96,4.3,46.76,0.8,6.8,11.75,11.08,12.72,5.87,6.3,23.42,21.26,69.51,30.49,16.59,36.54,10.48,9.73,11.74,6.49,2.34,6.08,-2.5,LaborGain
Pilbara,14.76,4.72,6.88,23.28,27.8,14.01,8.56,15.1,9.08,36.73,39.09,75.64,19.83,4.52,10.51,11.51,11.78,66.2,0.72,42.45,13.24,5.21,13.16,4.79,2.27,8.12,10.04,84.83,15.17,8.68,13.5,28.24,6.27,8.68,3.97,20.13,10.54,-4.1,LaborGain
Riverton,14.59,9.88,9.67,9.2,20.88,12.85,22.92,36.15,10.82,14.55,38.49,52.89,38.29,8.82,42.66,36.53,1.39,19.41,0.37,3.89,14.37,7.55,17.59,4.41,4.79,23.31,23.73,65.34,34.66,12.44,31.53,11.9,9.8,14.01,8.57,4.27,7.47,0.9,LibNatRetiring
Rockingham,13.19,6.26,9.13,12.54,18.09,14.05,26.72,11.15,9.5,29.42,49.93,56.32,32.73,10.95,35.13,34.6,3.39,26.88,0.8,4.05,21.88,6.15,18.25,4.33,3.4,12.35,28.78,91.74,8.26,9.25,13.28,21.16,14.29,12.13,9.51,8.79,11.58,-0.1,Labor
Roe,17,7.18,6.68,11.77,18.92,14.97,23.48,12.11,7.62,25.3,54.96,62.19,33.19,4.62,40.29,28.41,6.34,24.97,28.8,2.8,12.09,4.73,19.18,2.38,2.32,11.87,15.82,93.92,6.08,25.08,11.97,14.42,7.99,9.85,7.04,9.03,14.62,-0.7,LibNat
Scarborough,13.52,5.8,7.29,20.9,21.85,11.31,19.33,35.99,11.33,18.81,33.87,61.21,32.79,6,27.43,36.91,5.51,30.15,0.42,5.43,17.66,6.62,14.08,5.25,6.63,21.46,22.47,85.6,14.4,14.62,31.16,14.02,10.09,13.36,8.27,2.91,5.57,-2,LibNat
South Perth,11.58,6.59,11.78,16.71,19.31,12.33,21.69,42.21,10.22,12.89,34.69,57.56,35,7.43,32.31,29.5,4.78,33.41,0.78,5.28,12.41,7.78,14.46,4.5,6.95,24.65,23.19,76.13,23.87,15.48,35.44,9.62,9.67,13.47,8.13,2.79,5.39,-3.2,LibNatRetiring
