DivisionNm,2019,Margin,Age20_24,Age25_34,Age35_44,Age45_54,Age55_64,Age65plus,EnglishOnly,Indigenous,HighestEduc_Bach,HighestEduc_DipCert,HighestEduc_NoTertiary,HighestEduc_PGrad,CurrentlyStudying,Industry_Distributive,Industry_Extractive,Industry_Finance,Industry_InfoProf,Industry_SocialServ,Industry_Transformative,Married,Occup_Admin,Occup_Laborer,Occup_MachOp,Occup_Manager,Occup_Professional,Occup_Sales,Occup_Service,Occup_Tradesperson,Relig_Christian,Relig_Catholic,Relig_Other,Relig_None,Tenure_Mortgage,Tenure_Owned,Tenure_PublicHousing,Tenure_Renting,Unemployed
Curtin,0.6395,0.1395,6.799198337,15.12641131,13.28594724,13.29466097,11.16228698,16.4683256,82.65119103,0.568882029,29.13573561,19.60380206,27.69168581,13.94746314,33.6125876,11.75610044,6.850190091,3.698802577,14.09928996,28.94409582,9.874023298,48.39925091,11.56437124,4.833928127,1.893572148,16.22510063,38.71962501,7.676990651,9.043958697,8.452163172,27.22915863,22.08370159,15.81541832,34.87172146,31.85289467,34.83600002,2.495365852,29.1511737,6.192990427
Dawson,0.6461,0.1461,6.265432498,13.57154861,13.19599757,14.34979897,12.66595995,14.25930475,92.68427592,5.58672579,9.315966591,31.93219335,43.45639648,2.728112887,30.22959678,18.50816999,13.63657353,1.297714521,4.583279208,19.77475834,13.38677866,47.74919703,11.84277621,12.1034303,10.73316641,11.25452184,15.03470791,9.40637113,10.51902297,17.43150557,35.22681732,26.88001758,13.22767055,24.66549455,33.95210938,28.25792282,3.026120169,33.70158639,7.96845953
Deakin,0.5473,0.0473,5.913439406,13.32147745,14.11229039,13.605262,11.42201285,17.29698369,76.74442058,0.354415372,18.3642516,27.77742239,37.55319851,8.967809513,28.69944694,17.62944274,1.025112087,4.201556599,11.18243534,24.7524547,16.4504359,51.78203873,14.85367711,7.25483101,3.802856446,12.83244234,25.81614102,10.09147199,10.19399379,13.56444449,29.74440472,19.83212567,14.81985987,35.60360974,39.62949535,35.25032121,1.793383905,22.1835551,5.444265345
Dickson,0.5464,0.0464,6.067365749,12.03856948,14.6349441,14.60158177,11.56822597,12.71628278,92.54327142,1.978190191,14.08253852,33.59160612,39.68101343,5.691987253,30.15758797,18.55748357,2.338650455,3.23844689,8.246209325,23.84863095,15.56330548,53.42424092,16.44578747,8.115917767,5.851625513,12.06493202,20.25469356,9.439164728,11.67926499,14.47879921,36.34074065,22.92319467,10.67987205,30.05619264,47.2081896,28.53823482,1.55543524,21.87028946,6.190621913
Dobell,0.485,0.015,5.839048719,11.10774174,12.22329038,13.1452794,12.34845894,19.52629507,94.37361768,4.357672381,8.912483972,33.96324438,43.41348523,2.978972984,29.81011801,18.29261345,1.840052733,2.939235514,5.990774286,23.71062512,18.20200073,45.86468971,13.34403062,11.5588788,7.021150125,10.36654845,16.02781715,11.10730247,12.77796021,16.06380748,37.21312851,25.29372673,10.69481454,26.79833023,37.07223087,32.17258741,2.95674545,26.9103675,7.393937067
Dunkley,0.4726,0.0274,6.116555943,12.73235546,13.66835493,14.2912583,12.16930869,15.92251529,88.40647035,0.867591923,11.71388848,33.1789218,40.4187919,4.693795681,29.10215089,19.23396113,1.518926511,2.558096948,7.009001775,23.32871701,20.96145875,45.35942786,13.74362041,9.609133587,6.367703666,11.71924671,17.5350752,10.95767486,11.62851665,16.38437181,27.28803526,20.23482207,13.53548642,38.94165625,42.85362093,28.51358833,1.838957817,24.95858066,6.383322371
Durack,0.6348,0.1348,5.484582043,16.06340557,14.93448916,14.69671827,12.14117647,10.83938081,87.84548241,15.12321981,8.348976219,31.57841233,40.70994996,2.587313847,31.87467492,14.68749181,21.6362121,0.770149739,3.39055768,19.31021784,11.93169916,43.57070499,11.06315996,12.39888039,11.24591536,12.91551888,14.16550496,6.393769746,10.30615042,18.79409056,27.8974613,21.76346749,18.12309598,32.21597523,23.87649033,23.34849589,10.83491001,47.68838136,7.7998613
Eden-Monaro,0.4915,0.0085,4.79381892,10.56648746,12.14724255,14.85213479,14.90837512,18.72401395,92.54788756,3.179587437,12.10595237,31.06667353,38.52688639,6.229278096,29.7578318,14.01126851,7.624139824,1.046240408,6.186740895,19.98968571,14.76377734,49.89917531,13.95852822,10.82288328,6.036504241,15.91706457,17.35371005,8.669307013,11.10493098,14.19774611,32.9461231,23.72605601,13.76482167,29.56299922,35.83018627,36.6270614,2.204971068,23.78016134,4.45858569
Fadden,0.6418,0.1418,6.577991256,12.83083934,13.51622637,13.67263994,11.46683909,16.60016011,87.57450101,1.732865324,10.89217475,33.1571686,40.70170176,4.102490971,30.24755219,18.50379904,1.434792205,2.533429521,7.033721628,22.82058082,18.20085182,46.98795064,14.20688495,10.00845415,6.06920003,12.5402098,16.48838558,12.18600703,11.64643986,15.08915465,34.37773262,19.86945009,14.64437465,31.10844264,34.7479432,24.35828093,1.510936314,37.81979306,7.596105672
Fairfax,0.6344,0.1344,5.183554688,10.90659879,12.8282344,14.28195243,13.26509254,19.20555289,94.32985995,1.918934795,13.08411801,34.34545012,37.90819095,4.983215746,28.49773468,16.35344174,3.438114824,2.571737149,7.107110024,26.5585864,16.146559,49.93584206,12.94044584,10.25232825,4.845419572,11.56728184,20.05856497,11.06145863,11.98108165,15.65722553,35.45437972,18.05365185,12.23810456,34.25386387,35.81038771,31.15002957,1.830873312,29.03716503,7.278977468
Farrer,0.6983,0.1983,5.523411616,11.13330735,11.2514617,12.94155623,13.66997174,20.08502241,92.13765013,4.143929059,8.769036327,29.6264873,45.37106951,2.796639534,30.28405769,16.72067913,13.20559525,1.265473641,3.620313054,20.31077323,18.47911153,49.70803166,11.39438297,14.89230195,7.761380065,16.08409443,14.37260422,9.227977199,10.54005318,13.81028178,34.9773436,28.29796823,13.73392126,22.99076691,30.69569189,36.34852161,2.331687237,28.5136951,5.691746248
